pre_flow,true_flow,src_ids,dst_ids
24.084722222222222,22.0,11,109
81.53333333333333,105.0,52,83
65.63333333333334,77.0,201,221
15.473271221532091,16.0,22,57
21.232636300897173,13.0,17,226
27.755555555555553,19.0,10,23
55.3,25.0,204,211
495.73333333333335,250.0,4,18
31.708333333333332,29.0,33,62
321.56666666666666,327.0,0,210
33.93333333333333,34.0,9,121
22.066666666666666,16.0,42,115
31.49935400516796,13.0,202,221
34.775,31.0,11,232
18.033333333333335,14.0,83,170
18.004761904761903,24.0,3,72
21.52905982905983,28.0,91,103
22.133333333333333,16.0,36,40
53.56666666666667,20.0,13,31
21.09333333333333,19.0,12,43
41.36666666666667,54.0,6,57
71.76666666666667,152.0,214,241
46.36666666666667,25.0,139,241
37.4,21.0,60,101
14.222619047619048,15.0,63,170
48.94230769230769,46.0,3,163
23.433333333333334,18.0,23,202
25.646666666666665,13.0,132,224
79.33333333333333,110.0,185,237
22.166666666666668,24.0,80,237
17.677777777777774,11.0,16,54
51.233333333333334,44.0,51,204
35.9,21.0,1,133
448.3333333333333,383.0,11,78
18.179166666666667,12.0,226,236
84.46666666666667,13.0,99,201
